arm,arm_label,seed,class_id,class_name,support,precision,class_wise_accuracy_recall,f1,source_result_sha256
last_epoch,Last epoch (primary),4,5,FTP-Patator,1588,0.029850746268656716,0.0012594458438287153,0.0024169184290030207,8e73e1a42c73d9fbf026a0d4264d754ced3927667b126bef71cd1993a4922d24
last_epoch,Last epoch (primary),4,6,Heartbleed,2,0.0,0.0,0.0,8e73e1a42c73d9fbf026a0d4264d754ced3927667b126bef71cd1993a4922d24
last_epoch,Last epoch (primary),4,7,SSH-Patator,1179,0.11801492838410328,0.9923664122137404,0.21094383845668438,8e73e1a42c73d9fbf026a0d4264d754ced3927667b126bef71cd1993a4922d24
last_epoch,Last epoch (primary),42,0,Benign,174421,0.9871441573545027,0.8954311694119401,0.939053683144088,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,1,DoS GoldenEye,2059,0.9140271493212669,0.9810587663914522,0.9463574607636448,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,2,DoS Hulk,46215,0.9148552790639327,0.8679000324569944,0.890759288458549,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,3,DoS Slowhttptest,1100,0.376425855513308,0.81,0.5139890395154312,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,4,DoS slowloris,1159,0.34293394777265745,0.7704918032786885,0.47462131278235453,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,5,FTP-Patator,1588,0.11490840634277026,0.9993702770780857,0.2061172803428794,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,6,Heartbleed,2,0.002026342451874367,1.0,0.00404448938321537,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
last_epoch,Last epoch (primary),42,7,SSH-Patator,1179,0.3175033921302578,0.9923664122137404,0.48108552631578944,2c3efd316910bc38d5ed2d244457997bef27e60640f0449d8d1fb59ae83cd25f
training_only_calibration,Training-only calibration,1,0,Benign,174421,0.987460815047022,0.8108828638753361,0.8905028144006649,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
training_only_calibration,Training-only calibration,1,1,DoS GoldenEye,2059,0.9479768786127167,0.8761534725594949,0.9106511862695609,7f27b3302e659aded0ae0cdedddbf2b81061dd6f2aaf727f84a48a27bbc80e1b
