metric,last_epoch_mean,last_epoch_sd,training_only_calibration_mean,training_only_calibration_sd,paired_delta_candidate_minus_baseline,paired_delta_ci95_low,paired_delta_ci95_high,paired_t_p_raw,paired_t_p_holm_primary_two,wilcoxon_p_raw
average_forgetting,0.035199029591814944,0.025969553344530587,0.05175067716043169,0.054348619191645416,0.016551647568616747,-0.03525936825708154,0.06836266339431504,0.4252068267847438,0.7551608669751889,0.8125
average_task_accuracy,0.7978156185284225,0.06864745733025894,0.7787517514478722,0.09569188934661035,-0.019063867080550346,-0.07476310648828546,0.03663537232718478,0.3957817499196597,,0.625
final_attack_detection_recall,0.8572698960639376,0.1497649465167055,0.8375895838805298,0.1672246392434826,-0.019680312183407756,-0.04413370168305451,0.004773077316239001,0.08916351531521102,,0.0625
final_balanced_accuracy,0.776267747287886,0.1205260887649572,0.7727260822288026,0.10615775933868227,-0.0035416650590833322,-0.06428114174351247,0.05719781162534581,0.8792394045812317,,1.0
final_benign_false_positive_rate,0.1310025742313139,0.08252199557992425,0.10438995304464485,0.05049811941940829,-0.026612621186669037,-0.06833988826767462,0.015114645894336552,0.15130750786277203,,0.0625
final_macro_f1,0.5439912546441885,0.05073372723721719,0.5634452844517499,0.040648571220491904,0.019454029807561325,-0.03502392534590651,0.07393198496102917,0.37758043348759446,0.7551608669751889,0.4375
final_overall_accuracy,0.855058997114916,0.06182791437495615,0.8752106726154143,0.04778997618791853,0.020151675500498435,-0.011584713920834787,0.05188806492183166,0.15268825719565066,,0.125
