arm,metric,mean,sample_std,ci95_low,ci95_high,seed_1,seed_2,seed_3,seed_4,seed_42
head_only,average_task_accuracy,0.2362807131475988,0.02390818799675032,0.2065947768497465,0.2659666494454511,0.23114798740158218,0.23124176240447855,0.23956354988239914,0.20655764260592022,0.27289262344361387
head_only,average_forgetting,0.03159170423728351,0.04393345005760602,-0.02295887901612908,0.0861422874906961,0.022069189931161512,0.0029695135077784547,0.023445864800723165,0.0014785400473132926,0.10799541289944115
head_only,final_overall_accuracy,0.5602507232401157,0.004529944603911605,0.5546260541115813,0.5658753923686501,0.5577627772420444,0.5635486981677917,0.5570877531340405,0.5563162970106075,0.5665380906460945
head_only,final_macro_f1,0.11774633245755647,0.008077653222421738,0.10771660126130075,0.1277760636538122,0.11630783158489963,0.13140004030038602,0.11456362753753573,0.10994540135232826,0.11651476151263274
head_only,final_balanced_accuracy,0.15054774519683783,0.005546590754308141,0.14366074314444355,0.15743474724923212,0.14829684394192166,0.15814030550887626,0.14541222583160557,0.15456476888713816,0.1463245818146476
router_only_cap3000,average_task_accuracy,0.24915742500173196,0.03474966086409109,0.20601002215699965,0.2923048278464643,0.22821977483525102,0.2523633593851612,0.2312251590492743,0.3083655355045342,0.2256132962344391
router_only_cap3000,average_forgetting,0.09218748076382637,0.029587546242082065,0.05544968979984392,0.12892527172780882,0.07555387283447709,0.06186591928404077,0.09525594874008055,0.08831241954092635,0.13994924341960707
router_only_cap3000,final_overall_accuracy,0.3871166827386692,0.10542916260088192,0.2562090871763832,0.5180242783009552,0.2546769527483124,0.4930568948891032,0.4292189006750241,0.4623915139826422,0.29623915139826423
router_only_cap3000,final_macro_f1,0.18435199515635967,0.01334208425624861,0.1677856094743745,0.20091838083834485,0.18425363594022456,0.18640394076726716,0.1673344634117011,0.2042283406878959,0.17953959497470964
router_only_cap3000,final_balanced_accuracy,0.20589765674168142,0.016798904346830297,0.1850390620049535,0.22675625147840936,0.20520327003004946,0.2034876259198481,0.18603063294251546,0.2326145975571258,0.20215215725886831
joint_cap3000,average_task_accuracy,0.30953297522163287,0.04773586789017226,0.2502610666393948,0.36880488380387094,0.3515107595964328,0.27233538518984873,0.24680850277844518,0.35184543140008556,0.32516479714335206
joint_cap3000,average_forgetting,0.03549705050313445,0.007699036634984326,0.02593743389262254,0.045056667113646365,0.03773588374930782,0.029952181720309952,0.03821613370187723,0.04563372346833418,0.025947329875843098
joint_cap3000,final_overall_accuracy,0.546808100289296,0.027111685783007794,0.5131444961219224,0.5804717044566697,0.5377049180327869,0.5402121504339441,0.5119575699132112,0.5847637415621987,0.5594021215043394
joint_cap3000,final_macro_f1,0.21145933065445371,0.03372552985009551,0.16958355441924367,0.25333510688966376,0.2417096669075786,0.18745682511706524,0.16442659213569513,0.23455913513862145,0.22914443397330805
joint_cap3000,final_balanced_accuracy,0.2302851475117956,0.03418705955068851,0.18783630646325744,0.27273398856033376,0.26133131132990883,0.20666619346220974,0.1827953502229372,0.25722710617205446,0.24340577637186772
router_only_uncapped,average_task_accuracy,0.2637735154487572,0.039784341339091506,0.21437473111575747,0.313172299781757,0.30216325242619635,0.2512796266339939,0.23219361386817342,0.30955655800946175,0.22367452630596069
router_only_uncapped,average_forgetting,0.09199044172478348,0.031197658547445686,0.05325343227816616,0.13072745117140078,0.08146290597189014,0.06110716409437558,0.09316760241285288,0.08034399811116164,0.14387053803363717
router_only_uncapped,final_overall_accuracy,0.4304339440694311,0.07979930193988705,0.33135002376888134,0.5295178643699808,0.4685631629701061,0.4953712632594021,0.4339440694310511,0.46113789778206365,0.29315332690453233
router_only_uncapped,final_macro_f1,0.19308644221443355,0.02406464544065325,0.163206238341236,0.22296664608763112,0.22790651347844046,0.18531633719824228,0.16718724282929537,0.20615265115654952,0.17886946640964022
router_only_uncapped,final_balanced_accuracy,0.21313834265628318,0.024621180392132586,0.18256710937009166,0.2437095759424747,0.2441191690004449,0.2004055175608031,0.18594811301037006,0.2337894344070608,0.20142947930273697
joint_uncapped,average_task_accuracy,0.30396145009692416,0.05201814824184512,0.2393723881717985,0.3685505120220498,0.36767969438130815,0.266817160430624,0.25726098550369986,0.3527569041017923,0.2752925060671966
joint_uncapped,average_forgetting,0.03106757208905083,0.008031179005033867,0.021095546255370332,0.04103959792273133,0.043357123051444915,0.030223115043036514,0.0221807516700599,0.03325291332994065,0.026323957350772177
joint_uncapped,final_overall_accuracy,0.5539054966248795,0.030905746346954574,0.5155309440482485,0.5922800492015106,0.5891996142719382,0.5381870781099325,0.5327868852459017,0.5853423336547734,0.5240115718418515
joint_uncapped,final_macro_f1,0.20650375679062366,0.03445668587691077,0.1637201304398474,0.24928738314139992,0.24990049619360694,0.18476766536402484,0.17076661285020747,0.23609306704067662,0.1909909425046023
joint_uncapped,final_balanced_accuracy,0.2258538562485636,0.03462676383416585,0.18285905022137566,0.26884866227575155,0.26696568512868746,0.20366049915134118,0.1875317201564676,0.2574244596583307,0.21368691714799107
