dataset,model,arm,final_overall_accuracy,final_macro_f1,final_balanced_accuracy,average_forgetting
NSL-KDD,FT256x4,head_only,0.5628992193044712,0.3108093425830141,0.3648381542606319,0.08142022402112088
NSL-KDD,FT256x4,joint_cap3000,0.7156493967352733,0.41461912466155343,0.4225138957914999,0.01600438973876934
UNSW-NB15,FT256x4,head_only,0.6878103289122091,0.2116193465859538,0.23521086152410406,0.026825269553281506
UNSW-NB15,FT256x4,joint_cap3000,0.6194699509303794,0.2349887801866609,0.2844666584462702,0.08970251042845273
CIC-IDS-2017,FT256x4,head_only,0.6458823383827759,0.21254066206349237,0.25906581450066835,0.09037298050353433
CIC-IDS-2017,FT256x4,joint_cap3000,0.7256789700056393,0.36948209163721357,0.6312806524164386,0.09629261174973643
MalayaNetwork_GT,FT512x12,head_only,0.5602507232401157,0.11774633245755647,0.15054774519683783,0.03159170423728351
MalayaNetwork_GT,FT512x12,joint_cap3000,0.546808100289296,0.21145933065445371,0.2302851475117956,0.03549705050313445
